ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
2; 3; Alg2; 0; 49; 51
2; 3; ChwaLee2022; 0; 10; 90
2; 4; Alg2; 0; 69; 31
2; 4; ChwaLee2022; 0; 33; 67
2; 5; Alg2; 0; 78; 22
2; 5; ChwaLee2022; 0; 63; 37
2; 6; Alg2; 0; 85; 15
2; 6; ChwaLee2022; 0; 77; 23
2; 7; Alg2; 0; 88; 12
2; 7; ChwaLee2022; 0; 91; 9
2; 8; Alg2; 0; 87; 13
2; 8; ChwaLee2022; 0; 93; 7
2; 9; Alg2; 0; 93; 7
2; 9; ChwaLee2022; 0; 98; 2
2; 10; Alg2; 0; 94; 6
2; 10; ChwaLee2022; 0; 100; 0
2; 11; Alg2; 0; 98; 2
2; 11; ChwaLee2022; 0; 100; 0
2; 12; Alg2; 0; 98; 2
2; 12; ChwaLee2022; 0; 100; 0
3; 4; Alg2; 0; 66; 34
3; 4; ChwaLee2022; 0; 6; 94
3; 5; Alg2; 0; 68; 32
3; 5; ChwaLee2022; 0; 26; 74
3; 6; Alg2; 0; 80; 20
3; 6; ChwaLee2022; 0; 30; 70
3; 7; Alg2; 0; 78; 22
3; 7; ChwaLee2022; 0; 45; 55
3; 8; Alg2; 0; 93; 7
3; 8; ChwaLee2022; 0; 75; 25
3; 9; Alg2; 0; 93; 7
3; 9; ChwaLee2022; 0; 84; 16
3; 10; Alg2; 0; 98; 2
3; 10; ChwaLee2022; 0; 96; 4
3; 11; Alg2; 0; 99; 1
3; 11; ChwaLee2022; 0; 94; 6
3; 12; Alg2; 0; 100; 0
3; 12; ChwaLee2022; 0; 99; 1
3; 13; Alg2; 0; 99; 1
3; 13; ChwaLee2022; 0; 100; 0
4; 5; Alg2; 0; 59; 41
4; 5; ChwaLee2022; 0; 0; 100
4; 6; Alg2; 0; 81; 19
4; 6; ChwaLee2022; 0; 4; 96
4; 7; Alg2; 0; 91; 9
4; 7; ChwaLee2022; 0; 21; 79
4; 8; Alg2; 0; 93; 7
4; 8; ChwaLee2022; 0; 39; 61
4; 9; Alg2; 0; 95; 5
4; 9; ChwaLee2022; 0; 55; 45
4; 10; Alg2; 0; 95; 5
4; 10; ChwaLee2022; 0; 71; 29
4; 11; Alg2; 0; 99; 1
4; 11; ChwaLee2022; 0; 84; 16
4; 12; Alg2; 0; 98; 2
