Util; ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
0.1; 2; 3; Alg1; 975; 25; 0
0.1; 2; 3; LeeShin2014; 309; 0; 691
0.2; 2; 3; Alg1; 936; 64; 0
0.2; 2; 3; LeeShin2014; 152; 0; 848
0.3; 2; 3; Alg1; 896; 104; 0
0.3; 2; 3; LeeShin2014; 82; 0; 918
0.4; 2; 3; Alg1; 852; 148; 0
0.4; 2; 3; LeeShin2014; 68; 0; 932
0.5; 2; 3; Alg1; 820; 180; 0
0.5; 2; 3; LeeShin2014; 32; 0; 968
0.6; 2; 3; Alg1; 692; 308; 0
0.6; 2; 3; LeeShin2014; 39; 0; 961
0.7; 2; 3; Alg1; 590; 410; 0
0.7; 2; 3; LeeShin2014; 75; 0; 925
0.8; 2; 3; Alg1; 519; 481; 0
0.8; 2; 3; LeeShin2014; 107; 0; 893
0.9; 2; 3; Alg1; 425; 575; 0
0.9; 2; 3; LeeShin2014; 143; 0; 857
0.1; 3; 4; Alg1; 975; 25; 0
0.1; 3; 4; LeeShin2014; 400; 0; 600
0.2; 3; 4; Alg1; 950; 50; 0
0.2; 3; 4; LeeShin2014; 199; 0; 801
0.3; 3; 4; Alg1; 917; 83; 0
0.3; 3; 4; LeeShin2014; 101; 0; 899
0.4; 3; 4; Alg1; 853; 147; 0
0.4; 3; 4; LeeShin2014; 45; 0; 955
0.5; 3; 4; Alg1; 720; 280; 0
0.5; 3; 4; LeeShin2014; 52; 0; 948
0.6; 3; 4; Alg1; 588; 412; 0
0.6; 3; 4; LeeShin2014; 72; 0; 928
0.7; 3; 4; Alg1; 500; 500; 0
0.7; 3; 4; LeeShin2014; 105; 0; 895
0.8; 3; 4; Alg1; 450; 550; 0
0.8; 3; 4; LeeShin2014; 125; 0; 875
0.9; 3; 4; Alg1; 393; 607; 0
0.9; 3; 4; LeeShin2014; 125; 0; 875
0.1; 4; 5; Alg1; 983; 17; 0
0.1; 4; 5; LeeShin2014; 453; 0; 547
0.2; 4; 5; Alg1; 966; 34; 0
0.2; 4; 5; LeeShin2014; 189; 0; 811
0.3; 4; 5; Alg1; 918; 82; 0
0.3; 4; 5; LeeShin2014; 66; 0; 934
0.4; 4; 5; Alg1; 777; 223; 0
0.4; 4; 5; LeeShin2014; 37; 0; 963
0.5; 4; 5; Alg1; 621; 379; 0
0.5; 4; 5; LeeShin2014; 47; 0; 953
0.6; 4; 5; Alg1; 491; 509; 0
0.6; 4; 5; LeeShin2014; 78; 0; 922
0.7; 4; 5; Alg1; 379; 621; 0
0.7; 4; 5; LeeShin2014; 66; 0; 934
0.8; 4; 5; Alg1; 360; 640; 0
0.8; 4; 5; LeeShin2014; 75; 0; 925
0.9; 4; 5; Alg1; 304; 696; 0
0.9; 4; 5; LeeShin2014; 88; 0; 912
0.1; 5; 6; Alg1; 990; 10; 0
0.1; 5; 6; LeeShin2014; 534; 0; 466
0.2; 5; 6; Alg1; 968; 32; 0
0.2; 5; 6; LeeShin2014; 168; 0; 832
0.3; 5; 6; Alg1; 888; 112; 0
0.3; 5; 6; LeeShin2014; 55; 0; 945
0.4; 5; 6; Alg1; 682; 318; 0
0.4; 5; 6; LeeShin2014; 22; 0; 978
0.5; 5; 6; Alg1; 488; 512; 0
0.5; 5; 6; LeeShin2014; 42; 0; 958
0.6; 5; 6; Alg1; 377; 623; 0
0.6; 5; 6; LeeShin2014; 48; 0; 952
0.7; 5; 6; Alg1; 318; 682; 0
0.7; 5; 6; LeeShin2014; 46; 0; 954
0.8; 5; 6; Alg1; 250; 750; 0
0.8; 5; 6; LeeShin2014; 51; 0; 949
0.9; 5; 6; Alg1; 198; 802; 0
0.9; 5; 6; LeeShin2014; 53; 0; 947
0.1; 6; 7; Alg1; 994; 6; 0
0.1; 6; 7; LeeShin2014; 547; 0; 453
0.2; 6; 7; Alg1; 972; 28; 0
0.2; 6; 7; LeeShin2014; 151; 0; 849
0.3; 6; 7; Alg1; 865; 135; 0
0.3; 6; 7; LeeShin2014; 40; 0; 960
0.4; 6; 7; Alg1; 595; 405; 0
0.4; 6; 7; LeeShin2014; 25; 0; 975
0.5; 6; 7; Alg1; 388; 612; 0
0.5; 6; 7; LeeShin2014; 33; 0; 967
0.6; 6; 7; Alg1; 317; 683; 0
0.6; 6; 7; LeeShin2014; 31; 0; 969
0.7; 6; 7; Alg1; 246; 754; 0
0.7; 6; 7; LeeShin2014; 35; 0; 965
0.8; 6; 7; Alg1; 175; 825; 0
0.8; 6; 7; LeeShin2014; 33; 0; 967
0.9; 6; 7; Alg1; 174; 826; 0
0.9; 6; 7; LeeShin2014; 21; 0; 979
0.1; 7; 8; Alg1; 1000; 0; 0
0.1; 7; 8; LeeShin2014; 531; 0; 469
0.2; 7; 8; Alg1; 976; 24; 0
0.2; 7; 8; LeeShin2014; 138; 0; 862
0.3; 7; 8; Alg1; 775; 225; 0
0.3; 7; 8; LeeShin2014; 37; 0; 963
0.4; 7; 8; Alg1; 532; 468; 0
0.4; 7; 8; LeeShin2014; 25; 0; 975
0.5; 7; 8; Alg1; 315; 685; 0
0.5; 7; 8; LeeShin2014; 29; 0; 971
0.6; 7; 8; Alg1; 215; 785; 0
0.6; 7; 8; LeeShin2014; 22; 0; 978
0.7; 7; 8; Alg1; 158; 842; 0
0.7; 7; 8; LeeShin2014; 21; 0; 979
0.8; 7; 8; Alg1; 108; 892; 0
0.8; 7; 8; LeeShin2014; 13; 0; 987
0.9; 7; 8; Alg1; 101; 899; 0
0.9; 7; 8; LeeShin2014; 18; 0; 982
0.1; 8; 9; Alg1; 998; 2; 0
0.1; 8; 9; LeeShin2014; 549; 0; 451
0.2; 8; 9; Alg1; 965; 35; 0
0.2; 8; 9; LeeShin2014; 136; 0; 864
0.3; 8; 9; Alg1; 728; 272; 0
0.3; 8; 9; LeeShin2014; 14; 0; 986
0.4; 8; 9; Alg1; 452; 548; 0
0.4; 8; 9; LeeShin2014; 16; 0; 984
0.5; 8; 9; Alg1; 275; 725; 0
0.5; 8; 9; LeeShin2014; 15; 0; 985
0.6; 8; 9; Alg1; 177; 823; 0
0.6; 8; 9; LeeShin2014; 13; 0; 987
0.7; 8; 9; Alg1; 124; 876; 0
0.7; 8; 9; LeeShin2014; 12; 0; 988
0.8; 8; 9; Alg1; 109; 891; 0
0.8; 8; 9; LeeShin2014; 8; 0; 992
0.9; 8; 9; Alg1; 70; 930; 0
0.9; 8; 9; LeeShin2014; 8; 0; 992
0.1; 9; 10; Alg1; 999; 1; 0
0.1; 9; 10; LeeShin2014; 538; 0; 462
0.2; 9; 10; Alg1; 959; 41; 0
0.2; 9; 10; LeeShin2014; 90; 0; 910
0.3; 9; 10; Alg1; 666; 334; 0
0.3; 9; 10; LeeShin2014; 15; 0; 985
0.4; 9; 10; Alg1; 384; 616; 0
0.4; 9; 10; LeeShin2014; 9; 0; 991
0.5; 9; 10; Alg1; 205; 795; 0
0.5; 9; 10; LeeShin2014; 10; 0; 990
0.6; 9; 10; Alg1; 137; 863; 0
0.6; 9; 10; LeeShin2014; 17; 0; 983
0.7; 9; 10; Alg1; 105; 895; 0
0.7; 9; 10; LeeShin2014; 10; 0; 990
