Util; ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
0.1; 2; 3; Alg1; 966; 34; 0
0.1; 2; 3; BaekKwakLee2020; 354; 0; 646
0.2; 2; 3; Alg1; 942; 58; 0
0.2; 2; 3; BaekKwakLee2020; 191; 0; 809
0.3; 2; 3; Alg1; 892; 108; 0
0.3; 2; 3; BaekKwakLee2020; 135; 0; 865
0.4; 2; 3; Alg1; 835; 165; 0
0.4; 2; 3; BaekKwakLee2020; 79; 0; 921
0.5; 2; 3; Alg1; 793; 207; 0
0.5; 2; 3; BaekKwakLee2020; 55; 0; 945
0.6; 2; 3; Alg1; 694; 306; 0
0.6; 2; 3; BaekKwakLee2020; 48; 0; 952
0.7; 2; 3; Alg1; 592; 408; 0
0.7; 2; 3; BaekKwakLee2020; 80; 0; 920
0.8; 2; 3; Alg1; 526; 474; 0
0.8; 2; 3; BaekKwakLee2020; 128; 0; 872
0.9; 2; 3; Alg1; 455; 545; 0
0.9; 2; 3; BaekKwakLee2020; 189; 0; 811
0.1; 3; 4; Alg1; 979; 21; 0
0.1; 3; 4; BaekKwakLee2020; 450; 0; 550
0.2; 3; 4; Alg1; 955; 45; 0
0.2; 3; 4; BaekKwakLee2020; 235; 0; 765
0.3; 3; 4; Alg1; 909; 91; 0
0.3; 3; 4; BaekKwakLee2020; 117; 0; 883
0.4; 3; 4; Alg1; 850; 150; 0
0.4; 3; 4; BaekKwakLee2020; 50; 0; 950
0.5; 3; 4; Alg1; 693; 307; 0
0.5; 3; 4; BaekKwakLee2020; 51; 0; 949
0.6; 3; 4; Alg1; 611; 389; 0
0.6; 3; 4; BaekKwakLee2020; 81; 0; 919
0.7; 3; 4; Alg1; 502; 498; 0
0.7; 3; 4; BaekKwakLee2020; 136; 0; 864
0.8; 3; 4; Alg1; 463; 537; 0
0.8; 3; 4; BaekKwakLee2020; 217; 0; 783
0.9; 3; 4; Alg1; 431; 569; 0
0.9; 3; 4; BaekKwakLee2020; 262; 0; 738
0.1; 4; 5; Alg1; 985; 15; 0
0.1; 4; 5; BaekKwakLee2020; 531; 0; 469
0.2; 4; 5; Alg1; 969; 31; 0
0.2; 4; 5; BaekKwakLee2020; 225; 0; 775
0.3; 4; 5; Alg1; 921; 79; 0
0.3; 4; 5; BaekKwakLee2020; 103; 0; 897
0.4; 4; 5; Alg1; 764; 236; 0
0.4; 4; 5; BaekKwakLee2020; 62; 0; 938
0.5; 4; 5; Alg1; 587; 413; 0
0.5; 4; 5; BaekKwakLee2020; 77; 0; 923
0.6; 4; 5; Alg1; 473; 527; 0
0.6; 4; 5; BaekKwakLee2020; 100; 0; 900
0.7; 4; 5; Alg1; 378; 622; 0
0.7; 4; 5; BaekKwakLee2020; 155; 0; 845
0.8; 4; 5; Alg1; 369; 631; 0
0.8; 4; 5; BaekKwakLee2020; 218; 0; 782
0.9; 4; 5; Alg1; 315; 685; 0
0.9; 4; 5; BaekKwakLee2020; 216; 0; 784
0.1; 5; 6; Alg1; 991; 9; 0
0.1; 5; 6; BaekKwakLee2020; 579; 0; 421
0.2; 5; 6; Alg1; 975; 25; 0
0.2; 5; 6; BaekKwakLee2020; 245; 0; 755
0.3; 5; 6; Alg1; 883; 117; 0
0.3; 5; 6; BaekKwakLee2020; 68; 0; 932
0.4; 5; 6; Alg1; 709; 291; 0
0.4; 5; 6; BaekKwakLee2020; 49; 0; 951
0.5; 5; 6; Alg1; 492; 508; 0
0.5; 5; 6; BaekKwakLee2020; 79; 0; 921
0.6; 5; 6; Alg1; 384; 616; 0
0.6; 5; 6; BaekKwakLee2020; 121; 0; 879
0.7; 5; 6; Alg1; 327; 673; 0
0.7; 5; 6; BaekKwakLee2020; 154; 0; 846
